term_id,term,term_type,notes
trm_acc,ACC,Metric,准确率指标
trm_alejandro-matamala,Alejandro Matamala,Person,Runway联合创始人
trm_alphabet-inc,Alphabet Inc.,Company,wikidata ownership relation
trm_amc-networks-international-central-europe,AMC Networks International Central Europe,Company,wikidata ownership relation
trm_anastasis-germanidis,Anastasis Germanidis,Person,Runway联合创始人
trm_andrej-karpathy,Andrej Karpathy,Person,243行GPT实现作者
trm_andrew-mccollum,Andrew McCollum,Person,wikidata founder relation
trm_ant-group,Ant Group,Company,LLaDA2.1
trm_anthony-levandowski,Anthony Levandowski,Person,wikidata founder relation
trm_anthropic,Anthropic,Company,头部平台公司
trm_arthur-mensch,Arthur Mensch,Person,wikidata founder relation
trm_augment-code,Augment Code,Company,Context Engine MCP
trm_aurora-alpha,Aurora Alpha,Model,OpenRouter stealth模型
trm_avocado,Avocado,Model,Meta测试代号
trm_avocado-thinking,Avocado Thinking,Model,Meta测试代号
trm_big-brain,Big Brain,Concept,Meta多agent并行概念
trm_blackrock,BlackRock,Company,wikidata ownership relation
trm_boss-zhipin,BOSS Zhipin,Company,Nanbeige模型发布方
trm_brendan-gregg,Brendan Gregg,Person,OpenAI性能工程
trm_bytedance,ByteDance,Company,含豆包与Seedream线
trm_carplay,CarPlay,Product,苹果车载系统
trm_catpaw,CatPaw,Product,美团AI编程工具
trm_chatgpt,ChatGPT,Product,external expansion from official source
trm_chatgpt-ads-test,ChatGPT Ads Test,Product,广告商业化测试
trm_chatgpt-deep-research,ChatGPT Deep Research,Product,升级到GPT-5.2
trm_chen-yidan,Chen Yidan,Person,wikidata founder relation
trm_chris-hughes,Chris Hughes,Person,wikidata founder relation
trm_chris-olah,Chris Olah,Person,wikidata founder relation
trm_claude,Claude,Product,external expansion from official source
trm_claude-app-voice-mode,Claude App voice mode,Product,语音模式分阶段开放
trm_claude-code,Claude Code,Product,external expansion from official source
trm_claude-code-desktop,Claude Code Desktop,Product,YOLO模式
trm_claude-cowork,Claude Cowork,Product,Windows版
trm_claude-opus-4-6,Claude Opus 4.6,Product,Antigravity可用
trm_codex-alpha,Codex Alpha,Product,Windows候补
trm_codex-app,Codex App,Product,external expansion from official source
trm_composer-1-5,Composer 1.5,Model,Cursor编程模型
trm_context-engine-mcp,Context Engine MCP,Product,MCP语义引擎
trm_cristobal-valenzuela,Cristobal Valenzuela,Person,Runway联合创始人
trm_cursor,Cursor,Company,Composer 1.5
trm_dangerously-skip-permissions,--dangerously-skip-permissions,Flag,Claude Code参数
trm_daniel-xu,Daniel Xu,Person,wikidata founder relation
trm_daniela-amodei,Daniela Amodei,Person,Anthropic联合创始人
trm_dario-amodei,Dario Amodei,Person,Anthropic联合创始人
trm_deepseek,DeepSeek,Company,1M上下文模型线
trm_diederik-p-kingma,Diederik P. Kingma,Person,wikidata founder relation
trm_dime,Dime,Product,OpenAI硬件传闻名
trm_draw-io,draw.io,Company,MCP server
trm_droid-agent,Droid Agent,Product,Factory集成Agent
trm_dsa,DSA,Technique,稀疏注意力机制
trm_dustin-moskovitz,Dustin Moskovitz,Person,wikidata founder relation
trm_eduardo-saverin,Eduardo Saverin,Person,wikidata founder relation
trm_elon-musk,Elon Musk,Person,xAI关联人物
trm_entire,Entire,Company,初创+融资
trm_factory,Factory,Company,与JetBrains合作
trm_gated-deltanet,Gated DeltaNet,Technique,Qwen3.5架构机制
trm_gemini,Gemini,Product,external expansion from official source
trm_gemini-3-1-pro-preview,Gemini 3.1 Pro Preview,Model,传闻型号
trm_gemini-api,Gemini API,Product,external expansion from official source
trm_gemini-deep-think,Gemini Deep Think,Model,科研推理模式
trm_gemini-skills,gemini-skills,Project,Gemini技能库
trm_gh-repo-anthropics-anthropic-retrieval-demo,GH Repo: anthropics/anthropic-retrieval-demo,Project,github official repository
trm_gh-repo-anthropics-anthropic-sdk-csharp,GH Repo: anthropics/anthropic-sdk-csharp,Project,github official repository
trm_gh-repo-anthropics-anthropic-sdk-go,GH Repo: anthropics/anthropic-sdk-go,Project,github official repository
trm_gh-repo-anthropics-anthropic-sdk-php,GH Repo: anthropics/anthropic-sdk-php,Project,github official repository
trm_gh-repo-anthropics-anthropic-sdk-typescript,GH Repo: anthropics/anthropic-sdk-typescript,Project,github official repository
trm_gh-repo-anthropics-attribution-graphs-frontend,GH Repo: anthropics/attribution-graphs-frontend,Project,github official repository
trm_gh-repo-anthropics-beam,GH Repo: anthropics/beam,Project,github official repository
trm_gh-repo-anthropics-claude-agent-sdk-demos,GH Repo: anthropics/claude-agent-sdk-demos,Project,github official repository
trm_gh-repo-anthropics-claude-agent-sdk-python,GH Repo: anthropics/claude-agent-sdk-python,Project,github official repository
trm_gh-repo-anthropics-claude-agent-sdk-typescript,GH Repo: anthropics/claude-agent-sdk-typescript,Project,github official repository
trm_gh-repo-anthropics-claude-ai-mcp,GH Repo: anthropics/claude-ai-mcp,Project,github official repository
trm_gh-repo-anthropics-claude-code,GH Repo: anthropics/claude-code,Project,github official repository
trm_gh-repo-anthropics-claude-code-security-review,GH Repo: anthropics/claude-code-security-review,Project,github official repository
trm_gh-repo-anthropics-claude-cookbooks,GH Repo: anthropics/claude-cookbooks,Project,github official repository
trm_gh-repo-anthropics-constitutionalharmlessnesspaper,GH Repo: anthropics/ConstitutionalHarmlessnessPaper,Project,github official repository
